date,Temperature,stl_residual,STL robust z-score,Rolling IQR,IsolationForest,rolling_median_14,anomaly_votes,is_anomaly_consensus
2023-10-27,24.20125,0.4841136838788884,False,False,False,23.771093750000002,0,False
2023-10-28,22.630770833333333,-1.314787282900621,True,False,False,23.771093750000002,1,False
2023-10-29,22.712374999999998,-1.376902669665462,True,False,False,23.35303125,1,False
2023-10-30,23.1604375,-0.29816412886366805,False,False,False,23.35303125,0,False
2023-10-31,23.464250000000003,-0.2919703304864889,False,False,False,23.23983333333333,0,False
2023-11-01,23.241812499999998,0.26688353695451994,False,False,False,23.199145833333333,0,False
2023-11-02,22.617083333333337,-0.15507061265259736,False,False,False,23.199145833333333,0,False
2023-11-03,22.705708333333334,-0.535542816249972,False,False,False,23.199145833333333,0,False
2023-11-04,23.237854166666665,-0.11205131241045052,False,False,False,23.199145833333333,0,False
2023-11-05,23.652854166666668,-0.050956921774140795,False,False,False,23.23983333333333,0,False
2023-11-06,22.760375,-0.6339554394414293,False,False,False,23.35303125,0,False
2023-11-07,22.424625000000002,-1.7810350135965507,True,False,False,23.558552083333336,1,False
2023-11-08,23.70177083333333,-0.42477111782634225,False,False,False,23.6773125,0,False
2023-11-09,24.697020833333337,0.1296469215035323,False,False,False,24.199395833333334,0,False
2023-11-10,24.986145833333335,-0.06411460867560237,False,False,False,24.841583333333336,0,False
2023-11-11,25.294395833333336,0.23842464263184837,False,False,False,25.140270833333336,0,False
2023-11-12,25.7053125,0.2549951433291504,False,False,False,25.140270833333336,0,False
2023-11-13,25.601229166666666,0.44738907988869414,False,False,False,25.140270833333336,0,False
2023-11-14,26.065479166666666,0.3588637343388932,False,False,False,25.140270833333336,0,False
2023-11-15,26.183520833333333,0.7234555508088043,False,False,False,25.140270833333336,0,False
2023-11-16,26.162854166666666,0.29305728398110276,False,False,False,25.140270833333336,0,False
2023-11-17,26.314666666666668,0.47288867204123974,False,False,False,25.4478125,0,False
2023-11-18,24.717916666666667,-0.5605693471941997,False,False,False,25.653270833333334,0,False
2023-11-19,24.750979166666667,-0.4351072748930136,False,False,False,25.653270833333334,0,False
2023-11-20,24.5226875,-0.39693298173283154,False,False,False,25.498729166666667,0,False
2023-11-21,24.383395833333335,-0.7705810228627605,False,False,False,25.50790625,0,False
2023-11-22,24.958354166666666,-0.023591446200651234,False,False,False,25.50790625,0,False
2023-11-23,25.759249999999998,0.18012957455672662,False,False,False,25.44828125,0,False
2023-11-24,25.71947916666667,-0.0821870778854219,False,False,False,25.44828125,0,False
2023-11-25,25.396229166666668,-0.0029134821935272726,False,False,False,25.44828125,0,False
2023-11-26,25.373145833333336,-0.08577501113039787,False,False,False,25.559958333333334,0,False
2023-11-27,25.619583333333335,0.009950146698656681,False,False,False,25.669531250000002,0,False
2023-11-28,25.72745833333333,-0.16030600435919595,False,False,False,25.723468750000002,0,False
2023-11-29,25.500333333333334,-0.5494140673902699,False,False,False,25.743354166666663,0,False
2023-11-30,26.525065217391305,-0.1887178749520011,False,False,False,26.14215760869565,0,False
2023-12-01,27.23447916666667,0.14859531641623036,False,False,False,26.828110733695652,0,False
2023-12-02,27.183208333333337,0.18041683256657848,False,False,False,27.15718229166667,0,False
2023-12-03,27.13115625,-0.012320420276477506,False,False,False,27.208843750000003,0,False
2023-12-04,27.618599999999997,0.3121152686890163,False,False,False,27.426539583333334,0,False
2023-12-05,27.859583333333333,0.41860604778302246,False,False,False,27.50586603773585,0,False
2023-12-06,27.867493333333332,0.364177134851591,False,False,False,27.50586603773585,0,False
2023-12-07,27.875403333333335,0.058305653610133845,False,False,False,27.50586603773585,0,False
2023-12-08,27.883313333333334,-0.01953307930484982,False,False,False,27.545305102040814,0,False
2023-12-09,27.891223333333336,0.1368271183540486,False,False,False,27.580769827586202,0,False
